name,image,price,old_price
Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản 2022),https://cdn0.fahasa.com/media/catalog/product/8/9/8935325006289.jpg,66.880 đ,88.000 đ
Trốn Lên Mái Nhà Để Khóc - Tặng Kèm Bookmark,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1-tr_n-l_n-m_i-nh_-_-kh_c-2.jpg,72.200 đ,95.000 đ
Ghi Chép Pháp Y - Những Thi Thể Không Hoàn Chỉnh,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-tr_c-ph_p-y-3.jpg,94.900 đ,130.000 đ
Đám Trẻ Ở Đại Dương Đen,https://cdn0.fahasa.com/media/catalog/product/8/9/8935325011559.jpg,72.270 đ,99.000 đ
Ghi Chép Pháp Y - Những Cái Chết Bí Ẩn,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-tr_c---ph_p-y-600.jpg,109.500 đ,150.000 đ
Ghi Chép Pháp Y - Tập 2 - Khi Tử Thi Biết Nói,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-tr_c-gcpy-2-1.jpg,91.250 đ,125.000 đ
Combo Sách Ghi Chép Pháp Y (Bộ 3 Cuốn),https://cdn0.fahasa.com/media/catalog/product/0/5/055cd615-0716-4f98-9ca7-33aef03b4fad.jpg,280.868 đ,405.000 đ
Thương,https://cdn0.fahasa.com/media/catalog/product/b/i/bia1_thuong_1.jpg,57.000 đ,75.000 đ
[Light Novel] Dược Sư Tự Sự - Tập 4 - Tặng Kèm Bookmark + Bìa Áo Đặc Biệt,https://cdn0.fahasa.com/media/catalog/product/d/u/duoc-su-tu-su_tieu-thuyet-tap-4_tang-bookmark-_-bia-ao-dac-biet.jpg,87.500 đ,125.000 đ
Dune - Xứ Cát,https://cdn0.fahasa.com/media/catalog/product/x/u/xu-cat---600.jpg,194.220 đ,249.000 đ
Nhà Giả Kim (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_36793.jpg,61.620 đ,79.000 đ
Cây Cam Ngọt Của Tôi,https://cdn0.fahasa.com/media/catalog/product/i/m/image_217480.jpg,84.240 đ,108.000 đ
